,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--0--0--0,0,0,0,0,0,0,0,0,6.983,0,,0,0,0,0,0,0,0,0,2,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.97,0.00
0--0--0--1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--0--2,0,0,0,0,0,-2.583,0,0,0,8.494,,0,0,0,0,0,1,0,0,0,2,,0.00,0.00,0.00,0.00,0.00,-2.58,0.00,0.00,0.00,16.99
0--0--0--3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--1--0,0,0,0,9.817,0,0,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,,0.00,0.00,0.00,29.45,0.00,0.00,0.00,0.00,0.00,0.00
0--0--1--1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--1--2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--1--3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--2--0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--2--1,0,0,0,0,4.026,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,,0.00,0.00,0.00,0.00,4.03,0.00,0.00,0.00,0.00,0.00
0--0--2--2,0,0,0,3.722,0,10.558,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,,0.00,0.00,0.00,3.72,0.00,10.56,0.00,0.00,0.00,0.00
0--0--2--3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--3--0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--3--1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--3--2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--3--3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--1--0--0,4.066,8.838,9.245,8.29,9.191,9.713,9.333,5.393,5.976,5.01,,6,12,3,7,48,107,7,9,11,6,,24.40,106.06,27.74,58.03,441.17,1039.29,65.33,48.54,65.74,30.06
0--1--0--1,6.975,0,0,10.296,9.216,0,9.9,4.985,8.966,0,,3,0,0,14,2,0,8,2,2,0,,20.93,0.00,0.00,144.14,18.43,0.00,79.20,9.97,17.93,0.00
0--1--0--2,4.111,6.96,8.184,10.891,7.774,7.465,11.422,3.515,7.079,8.142,,18,17,16,20,6,17,357,20,16,18,,74.00,118.32,130.94,217.82,46.64,126.91,4077.65,70.30,113.26,146.56
0--1--0--3,5.461,7.401,0,0,0,6.949,0.303,0,0,9.411,,1,1,0,0,0,1,1,0,0,13,,5.46,7.40,0.00,0.00,0.00,6.95,0.30,0.00,0.00,122.34
0--1--1--0,5.677,7.226,9.857,11.356,10.687,11.392,10.669,9.241,0,7.268,,2,4,2,23,2,3,3,4,0,2,,11.35,28.90,19.71,261.19,21.37,34.18,32.01,36.96,0.00,14.54
0--1--1--1,0,0,0,13.992,0,0,0,0,0,0,,0,0,0,5,0,0,0,0,0,0,,0.00,0.00,0.00,69.96,0.00,0.00,0.00,0.00,0.00,0.00
0--1--1--2,1.275,5.237,10.142,0,7.368,8.913,0,6.571,0,6.762,,2,3,7,0,3,6,0,1,0,1,,2.55,15.71,70.99,0.00,22.10,53.48,0.00,6.57,0.00,6.76
0--1--1--3,0,0,0,0,0,0,0,3.683,0,0,,0,0,0,0,0,0,0,5,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.42,0.00,0.00
0--1--2--0,3.647,8.962,13.463,13.22,9.584,10.961,12.801,10.386,9.767,4.604,,6,3,93,24,7,5,10,4,4,6,,21.88,26.89,1252.06,317.28,67.09,54.81,128.01,41.54,39.07,27.62
0--1--2--1,3.685,0,0,0,7.065,13.432,3.218,0,8.256,7.048,,3,0,0,0,1,22,1,0,1,2,,11.06,0.00,0.00,0.00,7.07,295.50,3.22,0.00,8.26,14.10
0--1--2--2,1.983,5.567,11.371,3.403,6.141,10.671,2.013,7.498,1.272,6.8,,8,16,50,2,3,38,5,3,5,5,,15.86,89.07,568.55,6.81,18.42,405.50,10.07,22.49,6.36,34.00
0--1--2--3,0.559,0,10.227,0,0,9.388,0,7.764,0,0,,1,0,24,0,0,4,0,2,0,0,,0.56,0.00,245.45,0.00,0.00,37.55,0.00,15.53,0.00,0.00
0--1--3--0,0,0,0,2.953,0,0,0.382,0,0,3.745,,0,0,0,1,0,0,2,0,0,8,,0.00,0.00,0.00,2.95,0.00,0.00,0.76,0.00,0.00,29.96
