,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--0--0--0,0.000,0.000,0.000,0.000,0.000,22.887,0.000,0.000,0.000,28.116,,0,0,0,0,0,1,0,0,0,2,,0.00,0.00,0.00,0.00,0.00,22.89,0.00,0.00,0.00,56.23
0--0--0--1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--0--2,18.764,19.346,0.000,20.401,0.000,0.000,0.000,19.436,0.000,0.000,,1,2,0,3,0,0,0,2,0,0,,18.76,38.69,0.00,61.20,0.00,0.00,0.00,38.87,0.00,0.00
0--0--0--3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--1--0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--1--1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--1--2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--1--3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--2--0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.250,0.000,0.000,,0,0,0,0,0,0,0,1,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.25,0.00,0.00
0--0--2--1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--2--2,0.000,22.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0,1,0,0,0,0,0,0,0,0,,0.00,22.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--2--3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--3--0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--3--1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--0--3--2,0.000,0.000,0.000,22.096,0.000,0.000,0.000,0.000,0.000,0.000,,0,0,0,2,0,0,0,0,0,0,,0.00,0.00,0.00,44.19,0.00,0.00,0.00,0.00,0.00,0.00
0--0--3--3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0,0,0,0,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--1--0--0,18.863,25.295,25.439,24.977,25.168,22.859,24.180,22.551,22.708,21.994,,11,109,144,23,12,13,16,14,19,9,,207.50,2757.18,3663.26,574.47,302.02,297.17,386.87,315.71,431.45,197.94
0--1--0--1,23.473,7.419,22.910,19.013,24.541,0.000,22.774,18.557,0.000,17.642,,16,1,6,1,6,0,1,5,0,1,,375.57,7.42,137.46,19.01,147.25,0.00,22.77,92.78,0.00,17.64
0--1--0--2,20.181,24.370,24.224,27.033,25.231,23.629,24.489,17.464,24.208,22.464,,17,31,24,642,31,22,33,24,34,30,,343.08,755.48,581.37,17355.27,782.15,519.83,808.12,419.15,823.09,673.93
0--1--0--3,0.000,0.000,21.037,15.211,0.000,10.943,12.640,20.525,24.382,14.445,,0,0,4,3,0,1,1,5,13,2,,0.00,0.00,84.15,45.63,0.00,10.94,12.64,102.62,316.97,28.89
0--1--1--0,23.417,25.068,28.432,27.213,11.160,27.808,26.598,22.817,25.549,0.000,,4,1,37,2,1,2,4,6,2,0,,93.67,25.07,1051.98,54.43,11.16,55.62,106.39,136.90,51.10,0.00
0--1--1--1,0.000,23.671,0.000,29.379,0.000,27.593,0.000,0.000,0.000,0.000,,0,1,0,9,0,1,0,0,0,0,,0.00,23.67,0.00,264.41,0.00,27.59,0.00,0.00,0.00,0.00
0--1--1--2,11.253,23.422,24.145,18.666,23.950,24.894,24.538,0.000,23.875,22.669,,1,1,8,3,4,9,1,0,5,11,,11.25,23.42,193.16,56.00,95.80,224.04,24.54,0.00,119.37,249.36
0--1--1--3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22.918,0.000,22.801,,0,0,0,0,0,0,0,1,0,5,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.92,0.00,114.00
0--1--2--0,22.334,23.201,29.326,30.976,22.199,29.995,29.045,26.991,23.479,14.671,,8,9,94,59,10,7,46,10,10,10,,178.67,208.81,2756.68,1827.57,221.99,209.97,1336.07,269.91,234.79,146.71
0--1--2--1,0.000,19.983,24.124,0.000,0.000,29.494,17.272,24.755,0.000,20.244,,0,2,2,0,0,17,1,1,0,1,,0.00,39.97,48.25,0.00,0.00,501.39,17.27,24.76,0.00,20.24
0--1--2--2,22.117,16.296,26.700,15.684,13.621,21.272,17.456,23.815,16.527,22.458,,10,7,112,5,6,7,7,6,4,37,,221.17,114.07,2990.38,78.42,81.72,148.91,122.19,142.89,66.11,830.93
0--1--2--3,16.430,22.114,18.807,0.000,0.000,24.611,0.000,13.586,22.199,0.000,,1,1,2,0,0,31,0,2,2,0,,16.43,22.11,37.61,0.00,0.00,762.95,0.00,27.17,44.40,0.00
0--1--3--0,0.000,22.382,0.000,19.231,0.000,23.766,19.147,31.730,28.494,17.758,,0,1,0,1,0,1,1,6,10,3,,0.00,22.38,0.00,19.23,0.00,23.77,19.15,190.38,284.94,53.27
0--1--3--1,0.000,23.532,0.000,22.562,0.000,0.000,21.487,24.162,1.049,0.000,,0,3,0,2,0,0,1,3,1,0,,0.00,70.60,0.00,45.12,0.00,0.00,21.49,72.49,1.05,0.00
0--1--3--2,17.119,17.136,18.615,0.000,20.209,16.853,0.000,20.553,17.849,20.865,,2,3,2,0,6,4,0,1,1,26,,34.24,51.41,37.23,0.00,121.26,67.41,0.00,20.55,17.85,542.50
0--1--3--3,12.656,14.274,0.000,0.000,0.000,0.000,0.000,24.977,0.000,0.000,,1,1,0,0,0,0,0,9,0,0,,12.66,14.27,0.00,0.00,0.00,0.00,0.00,224.79,0.00,0.00
0--2--0--0,22.232,27.423,27.976,28.112,28.120,27.481,28.116,20.474,20.135,21.579,,61,80,85,646,158,62,475,54,52,45,,1356.18,2193.83,2377.96,18160.64,4442.98,1703.81,13354.93,1105.61,1047.04,971.08
0--2--0--1,19.309,27.061,27.846,29.162,24.069,28.297,27.554,19.534,20.368,22.301,,5,10,11,115,4,25,4,7,10,5,,96.55,270.61,306.30,3353.59,96.28,707.42,110.22,136.74,203.68,111.51
0--2--0--2,18.749,24.994,26.388,18.721,25.805,26.458,18.400,18.565,22.238,21.801,,119,124,275,114,129,2483,107,128,110,110,,2231.10,3099.26,7256.81,2134.15,3328.83,65696.42,1968.85,2376.30,2446.21,2398.06
0--2--0--3,18.030,24.934,17.997,20.389,21.141,24.104,12.125,21.161,25.184,22.588,,3,65,4,4,5,5,4,6,72,3,,54.09,1620.71,71.99,81.55,105.71,120.52,48.50,126.97,1813.22,67.76
0--2--1--0,19.986,24.871,26.918,30.880,29.865,28.959,31.725,24.608,24.484,20.332,,5,7,17,124,11,29,87,7,4,9,,99.93,174.10,457.61,3829.13,328.51,839.82,2760.04,172.26,97.94,182.99
0--2--1--1,17.080,22.656,0.000,22.246,27.648,29.311,16.945,0.000,26.224,0.000,,11,1,0,1,4,5,1,0,16,0,,187.88,22.66,0.00,22.25,110.59,146.56,16.95,0.00,419.59,0.00
0--2--1--2,18.283,26.771,29.287,16.508,28.034,28.626,15.943,24.830,24.738,13.249,,8,9,118,13,4,6,4,5,8,5,,146.26,240.94,3455.87,214.61,112.14,171.76,63.77,124.15,197.90,66.25
0--2--1--3,7.842,20.630,24.661,13.691,23.394,21.912,24.030,24.079,13.620,22.651,,1,4,18,1,13,4,2,3,2,1,,7.84,82.52,443.90,13.69,304.13,87.65,48.06,72.24,27.24,22.65
0--2--2--0,18.549,26.427,18.786,18.977,25.850,17.871,16.996,24.716,24.090,18.905,,29,669,36,33,243,28,40,35,36,34,,537.91,17679.82,676.30,626.23,6281.55,500.40,679.84,865.08,867.26,642.76
0--2--2--1,19.371,26.086,16.908,17.026,23.757,20.443,13.157,17.175,26.675,13.675,,7,13,10,6,10,5,4,3,74,3,,135.59,339.12,169.08,102.15,237.57,102.21,52.63,51.53,1973.95,41.02
0--2--2--2,18.326,24.180,17.258,15.282,24.375,18.349,18.559,23.042,13.775,21.617,,31,92,40,21,613,25,29,31,20,35,,568.10,2224.54,690.33,320.92,14941.91,458.73,538.22,714.31,275.50,756.58
0--2--2--3,16.628,20.504,15.004,14.438,24.063,18.345,13.334,15.745,12.332,19.476,,5,9,7,6,143,4,2,4,5,7,,83.14,184.54,105.03,86.63,3441.07,73.38,26.67,62.98,61.66,136.33
0--2--3--0,19.246,28.875,18.201,18.083,23.695,19.649,23.637,0.000,28.664,20.688,,2,9,2,4,5,12,2,0,58,7,,38.49,259.87,36.40,72.33,118.47,235.78,47.27,0.00,1662.50,144.82
0--2--3--1,16.781,0.000,18.959,17.478,26.432,14.391,0.000,0.000,14.797,18.565,,6,0,1,2,27,1,0,0,1,13,,100.68,0.00,18.96,34.96,713.65,14.39,0.00,0.00,14.80,241.34
0--2--3--2,15.608,22.596,13.414,18.015,24.360,3.371,14.864,25.209,15.989,21.672,,8,39,10,4,2,1,7,107,7,11,,124.86,881.26,134.14,72.06,48.72,3.37,104.05,2697.41,111.92,238.40
0--2--3--3,15.042,0.000,17.734,0.000,25.510,0.000,0.000,0.000,16.669,18.370,,2,0,3,0,11,0,0,0,3,18,,30.08,0.00,53.20,0.00,280.61,0.00,0.00,0.00,50.01,330.65
0--3--0--0,19.346,30.822,31.618,31.974,33.178,26.767,31.335,17.514,18.303,18.380,,13,24,195,25,11,14,47,10,18,10,,251.50,739.72,6165.53,799.34,364.95,374.73,1472.75,175.14,329.46,183.80
0--3--0--1,20.846,0.000,30.007,0.000,0.000,32.111,0.000,0.000,15.659,25.721,,11,0,6,0,0,15,0,0,2,1,,229.31,0.00,180.04,0.00,0.00,481.67,0.00,0.00,31.32,25.72
0--3--0--2,14.737,28.351,29.086,19.894,23.652,29.602,17.195,17.844,21.845,21.843,,27,30,146,16,20,391,26,26,27,32,,397.89,850.54,4246.61,318.30,473.03,11574.50,447.08,463.94,589.81,698.96
0--3--0--3,16.449,0.000,0.000,0.000,0.000,0.000,0.000,16.489,23.488,0.000,,7,0,0,0,0,0,0,2,16,0,,115.15,0.00,0.00,0.00,0.00,0.00,0.00,32.98,375.80,0.00
0--3--1--0,21.713,23.210,23.277,18.441,31.306,19.551,12.975,0.000,0.000,22.616,,4,2,1,12,31,3,2,0,0,11,,86.85,46.42,23.28,221.30,970.50,58.65,25.95,0.00,0.00,248.78
0--3--1--1,0.000,30.152,0.000,0.000,31.881,0.000,23.492,0.000,0.000,0.000,,0,1,0,0,2,0,2,0,0,0,,0.00,30.15,0.00,0.00,63.76,0.00,46.98,0.00,0.00,0.00
0--3--1--2,27.375,29.441,17.899,18.120,0.000,17.952,11.356,0.000,24.301,0.000,,1,19,1,6,0,1,1,0,13,0,,27.38,559.39,17.90,108.72,0.00,17.95,11.36,0.00,315.91,0.00
0--3--1--3,0.000,22.622,0.000,0.000,28.820,0.000,16.152,23.646,10.885,0.000,,0,2,0,0,12,0,1,1,1,0,,0.00,45.24,0.00,0.00,345.84,0.00,16.15,23.65,10.89,0.00
0--3--2--0,17.507,29.695,15.827,14.897,26.999,20.159,21.181,19.812,26.384,15.682,,14,168,10,13,22,11,13,5,7,9,,245.09,4988.73,158.27,193.66,593.98,221.75,275.35,99.06,184.69,141.14
0--3--2--1,0.000,26.744,0.000,0.000,26.220,18.202,19.532,22.385,20.699,13.705,,0,3,0,0,15,2,2,1,4,1,,0.00,80.23,0.00,0.00,393.29,36.40,39.06,22.38,82.80,13.71
