,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--0--0--0,0,0,0,0,0,0,0,0,2,0
0--0--0--1,0,0,0,0,0,0,0,0,0,0
0--0--0--2,0,0,0,0,0,1,0,0,0,2
0--0--0--3,0,0,0,0,0,0,0,0,0,0
0--0--1--0,0,0,0,3,0,0,0,0,0,0
0--0--1--1,0,0,0,0,0,0,0,0,0,0
0--0--1--2,0,0,0,0,0,0,0,0,0,0
0--0--1--3,0,0,0,0,0,0,0,0,0,0
0--0--2--0,0,0,0,0,0,0,0,0,0,0
0--0--2--1,0,0,0,0,1,0,0,0,0,0
0--0--2--2,0,0,0,1,0,1,0,0,0,0
0--0--2--3,0,0,0,0,0,0,0,0,0,0
0--0--3--0,0,0,0,0,0,0,0,0,0,0
0--0--3--1,0,0,0,0,0,0,0,0,0,0
0--0--3--2,0,0,0,0,0,0,0,0,0,0
0--0--3--3,0,0,0,0,0,0,0,0,0,0
0--1--0--0,6,12,3,7,48,107,7,9,11,6
0--1--0--1,3,0,0,14,2,0,8,2,2,0
0--1--0--2,18,17,16,20,6,17,357,20,16,18
0--1--0--3,1,1,0,0,0,1,1,0,0,13
0--1--1--0,2,4,2,23,2,3,3,4,0,2
0--1--1--1,0,0,0,5,0,0,0,0,0,0
0--1--1--2,2,3,7,0,3,6,0,1,0,1
0--1--1--3,0,0,0,0,0,0,0,5,0,0
0--1--2--0,6,3,93,24,7,5,10,4,4,6
0--1--2--1,3,0,0,0,1,22,1,0,1,2
0--1--2--2,8,16,50,2,3,38,5,3,5,5
0--1--2--3,1,0,24,0,0,4,0,2,0,0
0--1--3--0,0,0,0,1,0,0,2,0,0,8
0--1--3--1,0,5,1,1,0,1,1,0,0,0
0--1--3--2,6,0,2,1,3,0,0,1,1,14
0--1--3--3,0,0,7,0,0,0,0,0,0,0
0--2--0--0,27,40,46,346,74,31,373,44,27,27
0--2--0--1,3,3,8,4,5,7,79,3,2,6
0--2--0--2,75,78,61,71,1023,678,64,73,71,87
0--2--0--3,2,47,3,3,2,35,2,4,4,4
0--2--1--0,7,4,108,12,7,2,10,8,5,6
0--2--1--1,1,2,8,1,0,1,1,0,7,1
0--2--1--2,5,3,65,1,6,8,2,3,4,5
0--2--1--3,1,0,4,0,3,0,1,0,0,19
0--2--2--0,23,510,23,22,33,16,27,23,23,24
0--2--2--1,1,5,5,6,5,3,2,6,64,4
0--2--2--2,29,68,22,23,376,19,20,16,14,14
0--2--2--3,1,6,1,3,50,1,3,16,5,41
0--2--3--0,3,1,1,0,0,6,1,3,38,1
0--2--3--1,1,0,2,0,4,0,10,4,1,0
0--2--3--2,4,11,4,6,3,6,4,75,4,13
0--2--3--3,0,0,0,3,5,1,0,0,0,19
0--3--0--0,7,18,25,21,4,102,14,8,2,6
0--3--0--1,0,0,11,1,0,0,0,1,1,0
0--3--0--2,15,293,20,14,45,36,16,21,11,22
0--3--0--3,5,0,5,3,0,2,8,1,0,0
0--3--1--0,1,0,4,1,26,1,2,1,1,1
0--3--1--1,0,0,0,4,0,0,0,0,0,0
0--3--1--2,0,7,3,0,0,3,0,1,0,0
0--3--1--3,0,0,2,3,0,1,0,0,0,0
0--3--2--0,6,0,4,3,106,1,3,7,2,6
0--3--2--1,2,0,1,2,0,0,1,3,13,0
0--3--2--2,3,57,1,8,48,7,4,8,3,2
0--3--2--3,1,0,4,0,0,2,0,0,1,17
0--3--3--0,0,0,0,0,0,0,0,6,0,1
0--3--3--1,0,0,0,1,0,0,0,8,0,0
0--3--3--2,1,0,0,1,9,0,1,0,0,6
0--3--3--3,0,0,0,0,0,3,0,0,2,0
1--0--0--0,65,39,59,9,6,5,11,10,4,9
1--0--0--1,0,1,0,0,0,1,17,2,0,0
1--0--0--2,21,16,14,359,15,18,15,19,18,33
1--0--0--3,0,9,0,0,1,1,2,2,0,2
1--0--1--0,0,2,20,0,1,0,0,2,13,1
1--0--1--1,1,0,0,0,0,0,4,0,0,0
1--0--1--2,0,0,2,0,0,1,7,0,2,2
1--0--1--3,0,4,0,1,1,1,0,0,0,0
1--0--2--0,1,5,70,30,7,17,3,6,6,5
1--0--2--1,2,0,0,1,0,4,1,8,1,1
1--0--2--2,7,6,96,8,4,5,6,3,7,7
1--0--2--3,10,2,0,2,1,0,3,4,1,0
1--0--3--0,0,0,1,0,0,12,0,1,3,1
1--0--3--1,0,3,0,0,0,0,0,0,0,0
1--0--3--2,0,12,2,0,1,6,2,0,0,5
1--0--3--3,0,0,1,0,1,0,3,0,0,0
1--1--0--0,852,1161,17196,1136,871,847,894,860,801,808
1--1--0--1,104,113,103,2248,86,90,94,87,102,114
1--1--0--2,1882,1854,32081,1853,1869,1852,1887,1832,1853,1918
1--1--0--3,79,1972,139,89,79,81,85,95,76,85
1--1--1--0,156,146,3218,198,137,158,159,123,162,139
1--1--1--1,21,43,458,24,26,26,49,21,19,15
1--1--1--2,82,73,1973,101,87,92,87,73,84,77
1--1--1--3,28,57,560,21,31,24,23,31,19,21
1--1--2--0,591,590,565,572,582,652,13110,618,585,527
1--1--2--1,59,79,71,72,65,1668,70,84,87,81
1--1--2--2,497,496,485,488,504,10394,501,468,487,425
1--1--2--3,89,83,117,96,82,2286,99,84,101,95
1--1--3--0,51,55,55,44,38,36,64,77,949,52
1--1--3--1,35,28,27,23,19,16,24,475,24,25
1--1--3--2,95,143,102,81,113,79,110,2307,93,93
1--1--3--3,24,31,19,13,23,14,20,503,16,32
1--2--0--0,3658,3665,48982,3791,3743,3608,3675,3673,3620,3713
1--2--0--1,420,753,8927,431,405,391,418,423,418,444
1--2--0--2,7646,7668,58048,7535,7526,7785,7818,7617,7606,7626
1--2--0--3,369,561,8097,345,350,369,378,350,345,381
1--2--1--0,592,13549,566,605,621,654,605,612,612,612
1--2--1--1,94,1988,108,105,120,90,83,106,98,85
1--2--1--2,364,8090,356,413,347,397,357,352,325,333
1--2--1--3,109,2499,118,115,110,107,115,88,91,117
1--2--2--0,2547,39552,2486,2500,2555,2677,2561,2603,2511,2556
1--2--2--1,297,7014,349,294,331,323,326,315,274,301
1--2--2--2,2027,34505,2056,2003,2118,2050,2006,2017,2129,2118
1--2--2--3,420,9701,413,429,456,425,448,441,442,429
1--2--3--0,161,4331,155,187,185,192,199,232,200,180
1--2--3--1,108,2239,78,80,116,104,91,81,100,103
1--2--3--2,416,9402,464,412,371,377,392,434,423,417
1--2--3--3,95,2214,84,96,93,97,85,99,94,90
1--3--0--0,765,738,727,712,1583,14713,765,756,747,739
1--3--0--1,86,98,72,85,1663,386,83,95,98,86
1--3--0--2,1576,1628,1611,1585,28618,2177,1591,1544,1590,1656
1--3--0--3,77,78,73,78,116,1641,72,77,92,75
1--3--1--0,118,125,108,112,2858,139,132,130,138,135
1--3--1--1,26,17,12,12,413,13,16,22,19,22
1--3--1--2,68,73,68,87,1736,68,72,65,58,66
1--3--1--3,17,32,16,21,492,18,17,20,26,15
1--3--2--0,497,587,533,531,11342,476,496,546,556,521
1--3--2--1,84,59,65,61,1436,65,57,64,78,67
1--3--2--2,414,376,433,425,9236,411,410,373,394,417
1--3--2--3,82,85,85,95,1995,93,77,69,92,93
1--3--3--0,30,41,40,42,838,36,42,79,44,34
1--3--3--1,47,22,24,21,418,26,17,18,20,24
1--3--3--2,77,77,91,80,1966,78,67,141,90,89
1--3--3--3,32,21,17,22,433,17,18,20,16,26
2--0--0--0,730,36,40,25,25,39,32,27,30,31
2--0--0--1,6,6,8,76,5,4,4,5,3,10
2--0--0--2,91,266,1456,80,80,64,69,63,100,67
2--0--0--3,10,4,76,5,5,1,2,2,2,5
2--0--1--0,5,9,110,4,5,3,6,10,6,3
2--0--1--1,0,9,0,1,1,0,0,1,0,0
2--0--1--2,3,43,1,1,3,2,1,6,22,3
2--0--1--3,4,0,0,1,1,0,1,3,0,13
2--0--2--0,246,321,22,19,18,27,20,14,20,25
2--0--2--1,5,65,2,4,1,5,3,4,1,7
2--0--2--2,322,88,25,26,17,2,25,61,17,14
2--0--2--3,2,77,2,0,5,3,8,3,5,4
2--0--3--0,2,2,3,2,2,2,0,1,37,4
2--0--3--1,1,0,21,0,2,0,1,0,0,0
2--0--3--2,15,41,2,7,1,4,6,5,1,28
2--0--3--3,1,10,1,0,1,1,0,7,2,0
2--1--0--0,3566,3698,48913,3682,3703,3526,3539,3632,3555,3615
2--1--0--1,445,8494,1249,439,418,438,401,419,439,450
2--1--0--2,7649,58098,7669,7672,7593,7580,7678,7604,7792,7662
2--1--0--3,372,2413,6276,371,355,390,353,350,368,352
2--1--1--0,598,13467,646,660,599,620,641,552,606,632
2--1--1--1,106,2022,100,79,84,81,99,95,83,91
2--1--1--2,311,8329,349,359,367,363,382,360,384,393
2--1--1--3,107,2569,95,117,97,127,103,108,103,111
2--1--2--0,2481,39500,2615,2534,2632,2534,2588,2614,2533,2558
2--1--2--1,326,6951,291,304,286,309,276,301,309,309
2--1--2--2,2125,34442,2022,2072,1999,2055,2103,2044,1994,1960
2--1--2--3,413,9504,409,426,409,398,405,411,414,453
2--1--3--0,183,4463,201,204,170,188,210,186,203,186
2--1--3--1,80,2167,90,92,90,89,91,81,105,78
2--1--3--2,427,9206,415,480,437,434,392,421,402,417
2--1--3--3,88,2301,108,93,92,88,88,88,95,92
2--2--0--0,59926,14372,14327,14204,14267,14366,14201,14280,14192,14325
2--2--0--1,31518,1782,1815,1809,1792,1830,1846,1851,1765,1792
2--2--0--2,81224,26714,26997,26689,27033,26738,26926,26894,26801,27136
2--2--0--3,28315,1569,1545,1578,1590,1620,1555,1504,1579,1610
2--2--1--0,2592,2594,2659,2673,2703,2601,40057,2677,2687,2608
2--2--1--1,420,389,389,344,372,8466,337,334,365,373
2--2--1--2,1584,1584,1543,1546,1587,28151,1548,1544,1545,1546
2--2--1--3,895,467,441,435,436,9894,463,459,467,430
2--2--2--0,59555,10556,10498,10320,10443,10290,10429,10510,10462,10364
2--2--2--1,25202,1337,1328,1233,1325,1225,1350,1353,1328,1254
2--2--2--2,58760,8359,8490,8398,8506,8393,8288,8315,8359,8410
2--2--2--3,31724,1802,1773,1826,1872,1794,1743,1931,1799,1820
2--2--3--0,14511,885,777,789,801,767,829,2775,1392,787
2--2--3--1,9029,398,399,383,403,416,428,398,425,400
2--2--3--2,31594,1754,1853,1828,1817,1799,1865,1817,1793,1765
2--2--3--3,8941,384,429,406,389,401,406,427,428,422
2--3--0--0,3180,3075,3120,3257,44225,3132,3312,3081,3160,3126
2--3--0--1,370,344,351,350,8051,375,367,356,373,389
2--3--0--2,6503,6625,6670,6731,56947,6641,6698,6651,6618,6660
2--3--0--3,285,307,292,327,6776,652,349,325,306,291
2--3--1--0,580,510,559,528,11665,559,504,522,543,476
2--3--1--1,136,58,72,68,1739,94,81,63,66,67
2--3--1--2,353,316,292,328,7182,321,299,311,306,337
2--3--1--3,171,93,99,96,2185,90,83,101,80,94
2--3--2--0,2219,2166,2235,2232,36872,2232,2146,2196,2237,2168
2--3--2--1,301,243,246,291,6034,259,276,268,269,273
2--3--2--2,1840,1760,1778,1804,31141,1738,1750,1846,1829,1848
2--3--2--3,382,370,405,378,8294,354,379,325,383,349
2--3--3--0,166,152,143,153,3874,163,156,156,139,172
2--3--3--1,76,81,90,80,1815,86,92,82,83,77
2--3--3--2,370,412,375,373,8222,386,367,355,341,378
2--3--3--3,76,74,67,84,1907,92,72,101,70,86
3--0--0--0,22,6,10,118,9,6,6,7,8,11
3--0--0--1,13,3,0,0,0,0,0,0,1,12
3--0--0--2,41,21,292,14,10,13,15,9,16,16
3--0--0--3,10,0,0,1,0,1,0,0,1,0
3--0--1--0,0,19,1,1,1,0,1,2,6,0
3--0--1--1,0,0,0,0,0,0,2,0,0,0
3--0--1--2,0,0,2,0,0,0,0,11,9,1
3--0--1--3,0,6,1,0,1,1,0,0,0,0
3--0--2--0,88,6,8,3,3,14,7,12,11,3
3--0--2--1,12,0,1,1,0,0,3,1,0,0
3--0--2--2,65,9,5,2,3,35,3,1,1,2
3--0--2--3,22,0,0,0,1,0,0,5,0,1
3--0--3--0,0,6,0,1,1,0,0,1,0,1
3--0--3--1,0,0,0,1,2,0,0,0,1,0
3--0--3--2,0,0,0,6,2,4,2,7,0,0
3--0--3--3,0,7,0,0,0,1,0,0,0,0
3--1--0--0,15395,740,731,746,737,723,807,737,766,743
3--1--0--1,2019,78,76,92,90,86,78,78,75,96
3--1--0--2,29209,1579,1602,1530,1637,1598,1606,1564,1621,1622
3--1--0--3,1810,62,96,80,77,77,87,74,68,66
3--1--1--0,2932,118,119,124,136,114,120,128,118,146
