,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--0--0--0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0--0--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--0--2,0.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0
0--0--0--3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0--0--1--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0--0--2--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0--0--2--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--0,14.0,105.0,169.0,33.0,15.0,17.0,38.0,12.0,9.0,11.0
0--1--0--1,2.0,3.0,4.0,22.0,4.0,1.0,0.0,2.0,0.0,3.0
0--1--0--2,21.0,24.0,29.0,46.0,24.0,22.0,575.0,21.0,26.0,24.0
0--1--0--3,2.0,8.0,4.0,1.0,29.0,1.0,1.0,3.0,0.0,0.0
0--1--1--0,0.0,22.0,0.0,0.0,3.0,19.0,0.0,21.0,2.0,1.0
0--1--1--1,0.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0
0--1--1--2,1.0,7.0,6.0,3.0,16.0,0.0,2.0,11.0,0.0,0.0
0--1--1--3,0.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
0--1--2--0,4.0,6.0,5.0,30.0,7.0,146.0,65.0,7.0,8.0,9.0
0--1--2--1,2.0,0.0,2.0,3.0,27.0,0.0,1.0,0.0,0.0,1.0
0--1--2--2,9.0,9.0,10.0,11.0,4.0,197.0,15.0,8.0,7.0,11.0
0--1--2--3,2.0,3.0,0.0,2.0,1.0,30.0,1.0,6.0,1.0,0.0
0--1--3--0,1.0,0.0,2.0,1.0,14.0,0.0,1.0,0.0,0.0,4.0
0--1--3--1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,0.0,1.0
0--1--3--2,1.0,4.0,2.0,2.0,2.0,0.0,2.0,27.0,2.0,3.0
0--1--3--3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0
0--2--0--0,42.0,59.0,96.0,223.0,178.0,72.0,921.0,39.0,57.0,37.0
0--2--0--1,5.0,4.0,10.0,121.0,6.0,7.0,10.0,5.0,10.0,16.0
0--2--0--2,96.0,148.0,2507.0,120.0,99.0,158.0,102.0,105.0,92.0,119.0
0--2--0--3,5.0,3.0,45.0,9.0,66.0,9.0,7.0,6.0,11.0,8.0
0--2--1--0,13.0,11.0,12.0,108.0,7.0,74.0,18.0,7.0,13.0,5.0
0--2--1--1,1.0,3.0,30.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0
0--2--1--2,6.0,5.0,133.0,4.0,3.0,3.0,4.0,8.0,3.0,4.0
0--2--1--3,0.0,19.0,11.0,2.0,1.0,2.0,3.0,0.0,1.0,7.0
0--2--2--0,36.0,917.0,45.0,41.0,47.0,35.0,45.0,36.0,41.0,40.0
0--2--2--1,9.0,6.0,3.0,1.0,4.0,4.0,4.0,2.0,126.0,7.0
0--2--2--2,23.0,846.0,23.0,38.0,37.0,30.0,38.0,36.0,39.0,41.0
0--2--2--3,3.0,146.0,6.0,7.0,8.0,11.0,9.0,6.0,2.0,3.0
0--2--3--0,4.0,5.0,3.0,1.0,2.0,3.0,0.0,4.0,66.0,2.0
0--2--3--1,3.0,1.0,2.0,0.0,2.0,3.0,3.0,22.0,1.0,0.0
0--2--3--2,12.0,7.0,4.0,8.0,24.0,5.0,9.0,114.0,3.0,8.0
0--2--3--3,2.0,0.0,2.0,2.0,2.0,2.0,1.0,28.0,2.0,1.0
0--3--0--0,10.0,9.0,19.0,235.0,18.0,11.0,4.0,9.0,7.0,13.0
0--3--0--1,1.0,2.0,1.0,0.0,9.0,15.0,0.0,0.0,1.0,6.0
0--3--0--2,12.0,28.0,31.0,18.0,502.0,29.0,28.0,19.0,22.0,20.0
0--3--0--3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0
0--3--1--0,4.0,35.0,0.0,0.0,1.0,2.0,5.0,3.0,1.0,1.0
0--3--1--1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0
0--3--1--2,4.0,0.0,0.0,1.0,24.0,0.0,1.0,2.0,0.0,1.0
0--3--1--3,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
0--3--2--0,10.0,160.0,7.0,9.0,10.0,12.0,5.0,10.0,4.0,8.0
0--3--2--1,2.0,1.0,0.0,1.0,15.0,0.0,0.0,1.0,7.0,1.0
0--3--2--2,6.0,8.0,4.0,2.0,156.0,7.0,8.0,6.0,7.0,2.0
0--3--2--3,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,4.0,27.0
0--3--3--0,1.0,0.0,2.0,1.0,5.0,1.0,1.0,1.0,8.0,1.0
0--3--3--1,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0--3--3--2,3.0,12.0,2.0,3.0,17.0,1.0,0.0,1.0,1.0,0.0
0--3--3--3,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0
1--0--0--0,88.0,29.0,70.0,123.0,12.0,18.0,9.0,13.0,10.0,17.0
1--0--0--1,3.0,1.0,0.0,32.0,2.0,4.0,1.0,1.0,0.0,0.0
1--0--0--2,29.0,36.0,27.0,584.0,20.0,24.0,30.0,28.0,29.0,26.0
1--0--0--3,0.0,11.0,0.0,2.0,1.0,0.0,12.0,2.0,9.0,1.0
1--0--1--0,4.0,2.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
1--0--1--1,1.0,0.0,0.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0
1--0--1--2,3.0,5.0,25.0,0.0,3.0,1.0,0.0,2.0,7.0,0.0
1--0--1--3,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1--0--2--0,5.0,7.0,14.0,205.0,8.0,6.0,15.0,10.0,14.0,12.0
1--0--2--1,29.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
1--0--2--2,4.0,9.0,189.0,5.0,7.0,6.0,6.0,7.0,12.0,6.0
1--0--2--3,2.0,2.0,34.0,1.0,2.0,3.0,3.0,0.0,1.0,3.0
1--0--3--0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0
1--0--3--1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1--0--3--2,0.0,1.0,3.0,5.0,3.0,22.0,0.0,1.0,2.0,2.0
1--0--3--3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0
1--1--0--0,1412.0,27512.0,2130.0,2611.0,1485.0,1459.0,1402.0,1422.0,1439.0,1468.0
1--1--0--1,163.0,129.0,187.0,3776.0,169.0,170.0,179.0,167.0,160.0,156.0
1--1--0--2,3079.0,3162.0,52325.0,2927.0,3004.0,3032.0,3082.0,2978.0,3038.0,2996.0
1--1--0--3,143.0,435.0,3184.0,150.0,142.0,141.0,145.0,122.0,121.0,142.0
1--1--1--0,241.0,275.0,1850.0,4012.0,232.0,261.0,251.0,244.0,269.0,221.0
1--1--1--1,33.0,39.0,863.0,24.0,23.0,33.0,42.0,30.0,36.0,47.0
1--1--1--2,161.0,139.0,3251.0,147.0,138.0,171.0,131.0,133.0,128.0,154.0
1--1--1--3,38.0,32.0,1023.0,35.0,39.0,47.0,37.0,38.0,34.0,49.0
1--1--2--0,1011.0,1033.0,995.0,1003.0,968.0,3394.0,19408.0,1013.0,985.0,984.0
1--1--2--1,122.0,127.0,123.0,112.0,121.0,2801.0,99.0,101.0,118.0,122.0
1--1--2--2,861.0,942.0,907.0,933.0,922.0,19805.0,921.0,907.0,895.0,895.0
1--1--2--3,148.0,162.0,164.0,149.0,165.0,3919.0,145.0,151.0,150.0,157.0
1--1--3--0,70.0,61.0,67.0,70.0,66.0,71.0,69.0,1696.0,79.0,68.0
1--1--3--1,26.0,93.0,40.0,29.0,34.0,30.0,36.0,787.0,36.0,38.0
1--1--3--2,167.0,143.0,143.0,154.0,147.0,175.0,158.0,3792.0,136.0,144.0
1--1--3--3,40.0,36.0,26.0,40.0,44.0,31.0,40.0,874.0,29.0,37.0
1--2--0--0,6023.0,5917.0,7437.0,80610.0,6062.0,6144.0,6008.0,6060.0,5903.0,6015.0
1--2--0--1,680.0,1258.0,15305.0,757.0,712.0,695.0,703.0,709.0,694.0,713.0
1--2--0--2,12288.0,96238.0,12512.0,12529.0,12349.0,12450.0,12404.0,12465.0,12231.0,12444.0
1--2--0--3,610.0,11958.0,2503.0,611.0,623.0,603.0,627.0,588.0,635.0,660.0
1--2--1--0,1063.0,22311.0,1035.0,976.0,1039.0,1038.0,997.0,977.0,1083.0,1057.0
1--2--1--1,132.0,3439.0,138.0,158.0,135.0,143.0,141.0,156.0,144.0,143.0
1--2--1--2,595.0,13548.0,588.0,580.0,563.0,635.0,604.0,626.0,589.0,623.0
1--2--1--3,202.0,4046.0,166.0,176.0,209.0,227.0,158.0,175.0,164.0,188.0
1--2--2--0,4262.0,66101.0,4221.0,4284.0,4202.0,4243.0,4290.0,4199.0,4181.0,4270.0
1--2--2--1,475.0,11622.0,479.0,493.0,514.0,493.0,527.0,509.0,558.0,538.0
1--2--2--2,3727.0,61797.0,3845.0,3899.0,3778.0,3860.0,3801.0,3795.0,3862.0,3898.0
