,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--0--0--0,0.0,19.975151121632333,0.0,0.0,0.0,11.042624410663853,18.015016404496162,0.0,0.0,0.0
0--0--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--0--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--0,0.0,0.0,26.165539076900238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.243722877634674,0.0
0--0--1--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--2,0.0,0.0,0.0,0.0,0.0,8.168855083022349,0.0,0.0,0.0,0.0
0--0--2--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--0,17.259031897350017,20.529835988511646,21.02979350380751,20.45564252640613,20.812449225713124,19.994620916259926,21.08846125999772,18.893815136451245,18.261899470155303,17.10517291024263
0--1--0--1,16.15459226914955,0.0,0.0,0.0,0.0,0.0,0.0,13.77936512497446,0.0,17.439124494904252
0--1--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.259794525666944,0.0
0--1--0--3,0.0,0.0,0.0,0.0,12.75703617875616,0.0,0.0,0.0,0.0,0.0
0--1--1--0,0.0,5.147200000000001,23.480011667215596,22.84510160678312,0.0,19.08581329764667,25.3558537959417,14.041920000000003,19.56708028352235,15.310558123676833
0--1--1--1,0.0,13.137049743216494,0.0,0.0,20.025603407209765,0.0,0.0,0.0,0.0,0.0
0--1--1--2,14.379858315872251,0.0,14.329571130406402,0.0,0.0,20.011854888301787,0.0,12.128344523362939,18.216124852599446,17.851652974890968
0--1--1--3,0.0,17.614738455913983,15.911138530404253,0.0,0.0,19.501082346236604,0.0,0.0,0.0,0.0
0--1--2--0,15.2241777099915,15.209616485500458,23.714987528580604,21.849664549520085,21.96397031040226,22.454219873024396,16.793662004378742,16.917594881055994,22.072296154773042,9.442823894769266
0--1--2--1,16.797942238023463,19.94744552934299,22.334371803019444,0.0,0.0,0.0,13.173199353219442,16.582617600000006,22.04241566224195,0.0
0--1--2--2,16.684636951176525,18.97706386040651,20.962603278860662,11.998546294217833,19.959493608467458,20.106028820420875,18.30776158212064,18.084623197877512,16.800274133117217,16.815300002715492
0--1--2--3,0.0,5.555056701436987,0.0,14.136721405836457,15.162662672188501,22.37240252252035,11.432627792795298,19.77247981096562,0.0,9.897749389592075
0--1--3--0,0.0,0.0,0.0,14.495767970702284,22.195125647224305,0.0,0.0,0.0,23.95467661549189,1.0
0--1--3--1,0.0,0.0,0.0,0.0,0.0,15.116041152793827,11.057699840000002,0.0,0.0,17.33526366377044
0--1--3--2,9.904060246139819,16.353356596270242,12.976131838904118,12.510361907200004,9.647983371790422,11.793911795941952,3.5004394887751804,18.666138086717822,0.0,17.104716130455685
0--1--3--3,10.844503073310143,0.0,0.0,0.0,0.0,0.0,7.058688655990444,0.0,15.108916595130552,0.0
0--2--0--0,16.960870368794176,23.180182264015922,22.980336450046426,23.123322250546327,22.830457722354204,23.116377438372467,23.16107128021423,16.54194435399393,17.403038650395157,17.57141619593897
0--2--0--1,0.0,0.0,0.0,21.956940032204127,0.0,0.0,0.0,0.0,0.0,0.0
0--2--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.023514456885582
0--2--0--3,13.156354446506828,0.0,0.0,0.0,0.0,0.0,0.0,17.351407189589573,0.0,0.0
0--2--1--0,18.342438636297523,24.762591084018915,24.570790035923963,22.195335022927804,20.765448886261588,23.757653967158028,24.75435983144886,18.95627998850533,16.612544347687123,17.872775135094898
0--2--1--1,8.873820364661931,0.0,0.0,5.5737246430360585,0.0,22.0195979119024,0.0,0.0,17.455650150730172,0.0
0--2--1--2,10.71213307323116,21.490259439404856,20.58205882436299,13.754358974171303,17.502488331024093,22.454357659179234,9.597441674872261,17.788119271259458,16.67285920472734,18.41853423282834
0--2--1--3,0.0,20.396055141722957,0.0,15.69383622591681,0.0,22.45778788581565,16.246154965157928,14.969357676925922,14.374151782400006,19.15918711544134
0--2--2--0,13.484337030112176,20.6028675636442,14.28073808492711,14.485433838735483,21.508286730769026,14.266497428223024,14.44320985267106,17.907552451573654,19.106738695300727,15.489095193459114
0--2--2--1,12.621659843010278,18.539293042272984,11.67782972832136,11.734422198211226,22.276565437882237,14.016373411609038,15.927997385651121,17.74652477086448,18.907801826913563,18.050890589664096
0--2--2--2,14.629048144472627,19.174021292670023,11.339590237727135,13.43258405231018,18.827645146924485,13.472023812317783,13.150863567598318,15.44349140703547,15.186434343119407,15.43065639111626
0--2--2--3,11.195521603007053,17.99461221611985,11.768495307712685,12.15574448249877,16.17760343041983,14.881938476416547,9.955889420797726,15.732048428911574,11.391822158707736,15.475173732452868
0--2--3--0,8.86724458019373,19.59342746829141,14.756786378748055,9.620008327364038,20.55746726008681,19.24584356241191,12.6745535699362,20.122016543915812,20.417705376517553,13.224818527307441
0--2--3--1,6.62102230861314,18.10759696179908,10.59507300389578,0.0,0.0,16.93001269352653,12.755905831671761,17.701979553877873,0.0,15.996882798666423
0--2--3--2,13.720462365094903,16.960277313570344,4.241609390988325,14.46376625519708,17.57414636780769,11.670270289367346,10.833113177008107,16.056923041126183,11.528605692642142,13.526839388647272
0--2--3--3,14.162190904632729,6.0,10.662783573803011,11.842349066739622,17.26435531214036,11.822955135200438,0.0,14.636300257939325,10.705415501373619,15.537427018157533
0--3--0--0,15.159917273570752,24.66496200893409,25.396370752372448,23.244636030144182,23.802143656941055,24.355729165814832,23.409058988428377,17.282563855789192,15.925249522169633,16.354481567678164
0--3--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--3--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--3--0--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--3--1--0,17.49030078696355,17.54370370342546,14.794026370016052,9.62865916794855,0.0,0.0,11.150563207142914,12.775836345143858,18.27936137875605,14.366249215109582
0--3--1--1,22.99099175442949,8.8,0.0,0.0,0.0,10.137532987154957,0.0,0.0,0.0,0.0
0--3--1--2,0.0,22.62810370903703,20.53042258532477,16.843441225975194,0.0,6.975351375858227,0.0,16.844001832949118,8.240000000000002,14.751405228478745
0--3--1--3,11.495009455879991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.762650640950408
0--3--2--0,6.012952196465599,22.724724829705067,14.247989727314112,9.703435777684314,19.222150463893378,9.77233743063843,12.9549180513968,15.452370147844844,18.35372981587814,14.033826407242717
0--3--2--1,11.531812559646932,22.039594545365016,7.599191528148118,0.0,0.0,21.523944537629482,0.0,16.739957657600005,18.686405836789532,13.607578306767214
0--3--2--2,13.535829053366268,9.16261386162748,13.461695631811558,8.26147517292298,22.53212519419525,11.781414651994403,7.950228691038956,16.20299088446541,14.938902108165061,18.126558530175725
0--3--2--3,10.190564063101723,19.96591108516072,13.450180593045543,3.0669314051659313,17.806400000000004,14.221645684045267,10.187949453952815,19.743742777980017,0.0,0.0
0--3--3--0,13.75009346394949,23.963839271762645,14.790960445324053,19.77797643299399,0.0,0.0,18.35626658731707,22.4333948603092,20.88342748992137,-2.640375716089568
0--3--3--1,0.0,0.0,0.0,0.0,20.121623470529162,0.0,0.0,0.0,1.5035061142300457,0.0
0--3--3--2,0.0,20.34360393593748,12.911560807903495,0.0,22.05189262951232,16.86146243612319,16.72619725884924,16.292589956071268,0.0,14.643118439065868
0--3--3--3,0.0,10.278400000000001,0.0,0.0,19.28297947251186,0.0,-4.8,0.0,0.0,0.0
1--0--0--0,22.39864337345788,23.022423895733873,22.90455818869329,22.596475157484527,19.186010967828853,17.52664654977165,18.067828998419184,17.634759691292828,20.712054302648465,19.55778742897465
1--0--0--1,0.0,0.0,0.0,0.0,24.183264730480907,0.0,0.0,0.0,0.0,0.0
1--0--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1--0--0--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1--0--1--0,21.279089546462952,21.192698512592038,23.071368180173092,24.16496933621565,17.06865003103309,17.841153116879585,17.858276399261726,22.876150976601746,18.72811276575802,21.08361561215023
1--0--1--1,0.0,0.0,32.07372961299514,0.0,0.0,0.0,0.0,21.0981489666631,24.74211018602496,0.0
1--0--1--2,21.25599067885722,0.0,24.61167454816557,17.184939974560862,18.081668722051077,12.998261183018975,0.0,18.689522507623266,0.0,21.150584197426806
1--0--1--3,0.0,0.0,0.0,0.0,0.0,16.004871491283858,0.0,0.0,0.0,19.7467711765792
1--0--2--0,14.709934780642412,16.941395806594468,20.377659412416065,0.0,20.087639678612202,20.757258986023565,18.8111222999364,14.813559086942956,20.140414390021014,10.790559331625408
1--0--2--1,22.8464502968728,0.0,25.02815935025986,0.0,0.0,18.455981343707904,0.0,14.16775965004253,24.06651803460838,12.002743315804523
1--0--2--2,14.642872466977755,19.674753704446157,23.776898414445586,13.99394935942047,15.48061148320854,19.272513545477832,17.835890844779772,17.81365868156472,13.896722893235626,16.20778356615389
1--0--2--3,0.0,15.27445662751625,0.0,9.547817239355815,12.903740478426625,17.64359960424801,6.040000000000001,11.999509069135874,12.025037692285723,16.29708833224513
