,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--0--0--0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0--0--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--0--3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0--0--2--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0
0--0--2--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
0--0--3--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--0,24.0,267.0,23.0,37.0,23.0,25.0,165.0,17.0,24.0,19.0
0--1--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0--1--0--2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0--1--1--0,2.0,2.0,40.0,5.0,0.0,0.0,7.0,12.0,2.0,2.0
0--1--1--1,0.0,3.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,3.0
0--1--1--2,1.0,5.0,7.0,1.0,5.0,4.0,3.0,4.0,24.0,2.0
0--1--1--3,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,11.0
0--1--2--0,14.0,13.0,21.0,83.0,18.0,252.0,61.0,16.0,21.0,16.0
0--1--2--1,0.0,0.0,44.0,10.0,5.0,5.0,0.0,2.0,0.0,2.0
0--1--2--2,10.0,10.0,23.0,21.0,16.0,362.0,12.0,65.0,22.0,16.0
0--1--2--3,6.0,2.0,20.0,3.0,2.0,26.0,7.0,2.0,1.0,2.0
0--1--3--0,1.0,3.0,1.0,2.0,3.0,7.0,1.0,33.0,15.0,0.0
0--1--3--1,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
0--1--3--2,1.0,1.0,1.0,0.0,0.0,1.0,3.0,52.0,3.0,5.0
0--1--3--3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,0.0,4.0
0--2--0--0,89.0,969.0,563.0,426.0,90.0,85.0,96.0,73.0,79.0,74.0
0--2--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
0--2--0--2,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0--2--0--3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0--2--1--0,12.0,12.0,10.0,9.0,9.0,9.0,217.0,12.0,11.0,10.0
0--2--1--1,2.0,0.0,0.0,2.0,10.0,41.0,3.0,2.0,3.0,2.0
0--2--1--2,24.0,14.0,183.0,11.0,40.0,13.0,10.0,10.0,5.0,15.0
0--2--1--3,3.0,0.0,17.0,2.0,3.0,38.0,2.0,3.0,2.0,9.0
0--2--2--0,73.0,1543.0,76.0,69.0,76.0,72.0,73.0,179.0,75.0,65.0
0--2--2--1,10.0,98.0,11.0,10.0,9.0,11.0,4.0,15.0,126.0,4.0
0--2--2--2,65.0,161.0,77.0,82.0,300.0,57.0,90.0,91.0,84.0,1400.0
0--2--2--3,8.0,6.0,8.0,4.0,9.0,8.0,7.0,60.0,10.0,184.0
