,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--0--0--0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0
0--0--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--0--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0--0--2--1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0--0--2--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0--0--3--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--0,39.0,53.0,99.0,900.0,53.0,55.0,51.0,47.0,30.0,36.0
0--1--0--1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--1--0,0.0,1.0,9.0,25.0,1.0,2.0,10.0,5.0,2.0,1.0
0--1--1--1,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--1--2,2.0,0.0,27.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0
0--1--1--3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0
0--1--2--0,17.0,9.0,42.0,48.0,9.0,14.0,131.0,5.0,5.0,10.0
0--1--2--1,2.0,2.0,27.0,0.0,2.0,0.0,2.0,4.0,0.0,1.0
0--1--2--2,6.0,5.0,109.0,8.0,9.0,30.0,6.0,18.0,12.0,45.0
0--1--2--3,1.0,3.0,1.0,0.0,1.0,3.0,1.0,16.0,3.0,13.0
0--1--3--0,1.0,4.0,8.0,0.0,1.0,1.0,1.0,0.0,9.0,1.0
0--1--3--1,2.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
0--1--3--2,2.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,19.0
0--1--3--3,0.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0
0--2--0--0,158.0,2202.0,247.0,237.0,1297.0,188.0,790.0,174.0,196.0,170.0
0--2--0--1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
0--2--0--2,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
0--2--0--3,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0--2--1--0,10.0,11.0,84.0,142.0,6.0,4.0,18.0,9.0,12.0,8.0
0--2--1--1,0.0,0.0,35.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0
0--2--1--2,5.0,4.0,71.0,3.0,3.0,35.0,4.0,10.0,2.0,6.0
0--2--1--3,0.0,7.0,0.0,3.0,1.0,24.0,1.0,1.0,1.0,1.0
0--2--2--0,32.0,49.0,39.0,40.0,906.0,46.0,42.0,41.0,41.0,32.0
0--2--2--1,2.0,106.0,3.0,4.0,8.0,5.0,6.0,6.0,5.0,3.0
0--2--2--2,39.0,780.0,29.0,33.0,32.0,36.0,30.0,33.0,23.0,26.0
0--2--2--3,4.0,14.0,8.0,10.0,124.0,6.0,7.0,5.0,6.0,11.0
0--2--3--0,2.0,51.0,4.0,5.0,3.0,3.0,9.0,15.0,3.0,2.0
0--2--3--1,0.0,18.0,2.0,2.0,10.0,1.0,2.0,1.0,1.0,0.0
0--2--3--2,3.0,58.0,6.0,3.0,9.0,4.0,4.0,99.0,6.0,5.0
0--2--3--3,1.0,5.0,1.0,0.0,0.0,2.0,0.0,27.0,2.0,1.0
0--3--0--0,39.0,34.0,155.0,84.0,84.0,471.0,175.0,34.0,34.0,28.0
